,author,writer,illustrator
92,작가: 오늘만 사는 형제,작가: 오늘만 사는 형제,작가: 오늘만 사는 형제
93,작가: 조만국,작가: 조만국,작가: 조만국
94,작가: 모구스,작가: 모구스,작가: 모구스
95,작가: 진혜리,작가: 진혜리,작가: 진혜리
96,작가: 카리보,작가: 카리보,작가: 카리보
97,작가: 캐너피,작가: 캐너피,작가: 캐너피
98,작가: 조만국,작가: 조만국,작가: 조만국
99,작가: 김보통,작가: 김보통,작가: 김보통
100,작가: 에레세모,작가: 에레세모,작가: 에레세모
101,작가: 김파스,작가: 김파스,작가: 김파스
102,작가: 변태너구리,작가: 변태너구리,작가: 변태너구리
103,작가: 허긴개,작가: 허긴개,작가: 허긴개
104,작가: 수사반장,작가: 수사반장,작가: 수사반장
105,작가: 샤다라빠,작가: 샤다라빠,작가: 샤다라빠
106,작가: 이재,작가: 이재,작가: 이재
107,그림: 죽은고양이 / 글: 폴빠, 글: 폴빠,그림: 죽은고양이 
108,작가: 나솔,작가: 나솔,작가: 나솔
109,작가: 심모람,작가: 심모람,작가: 심모람
110,작가: 정,작가: 정,작가: 정
111,글: 골지 / 원작: 우지혜 / 그림: 해표,글: 골지 , 그림: 해표
112,작가: 영식,작가: 영식,작가: 영식
113,작가: 청혈구,작가: 청혈구,작가: 청혈구
114,그림: 룡키 / 글: 박연조 / 그림: 재재, 글: 박연조 ,그림: 룡키 
115,작가: 핑푸,작가: 핑푸,작가: 핑푸
116,글: 우시목 / 그림: 이하안,글: 우시목 , 그림: 이하안
117,작가: 진5,작가: 진5,작가: 진5
118,작가: 한라감귤,작가: 한라감귤,작가: 한라감귤
119,작가: 샤다라빠,작가: 샤다라빠,작가: 샤다라빠
120,작가: 고리타,작가: 고리타,작가: 고리타
121,글: 미스와플 / 그림: 직가,글: 미스와플 , 그림: 직가
122,글: 개호주 / 그림: 뉴꼬,글: 개호주 , 그림: 뉴꼬
123,작가: 늴릴,작가: 늴릴,작가: 늴릴
124,작가: 헛둘,작가: 헛둘,작가: 헛둘
125,작가: 호이,작가: 호이,작가: 호이
126,글: 빌뱅 / 그림: 턱시도펭귄,글: 빌뱅 , 그림: 턱시도펭귄
127,글: HYEYA / 그림: west dog alcohol,글: HYEYA , 그림: west dog alcohol
128,원작: 김성종 / 그림: 스튜디오 웨이브,원작: 김성종 , 그림: 스튜디오 웨이브
129,작가: 서영애,작가: 서영애,작가: 서영애
130,작가: 슬라정,작가: 슬라정,작가: 슬라정
131,작가: 오솟,작가: 오솟,작가: 오솟
132,작가: 레바,작가: 레바,작가: 레바
133,작가: 이연지,작가: 이연지,작가: 이연지
134,작가: 신,작가: 신,작가: 신
135,작가: Happykwak,작가: Happykwak,작가: Happykwak
136,그림: 영모 / 글: 티오비, 글: 티오비,그림: 영모 
137,그림: Sakon / 글: Xero, 글: Xero,그림: Sakon 
